Date,Strategy_Equity
2021-01-04,10000.0
2021-01-05,10041.212677001953
2021-01-06,10142.239562988281
2021-01-07,10350.81559753418
2021-01-08,10476.502822875977
2021-01-11,10502.107803344727
2021-01-12,10612.963088989258
2021-01-13,10559.481704711914
2021-01-14,10532.324211120605
2021-01-15,10466.892860412598
2021-01-19,10423.964500427246
2021-01-20,10497.264427185059
2021-01-21,10690.826805114746
2021-01-22,10597.572357177734
2021-01-25,10561.411224365234
2021-01-26,10533.818748474121
2021-01-27,10230.67202949524
2021-01-28,10291.381412506104
2021-01-29,10159.947164535522
2021-02-01,10280.117040634155
2021-02-02,10426.08451461792
2021-02-03,10352.113868713379
2021-02-04,10331.925434112549
2021-02-05,10395.994052886963
2021-02-08,10548.918584823608
2021-02-09,10648.78369140625
2021-02-10,10641.20636177063
2021-02-11,10542.405771255493
2021-02-12,10565.138580322266
2021-02-16,10387.286630630493
2021-02-17,10294.491485595703
2021-02-18,10124.955034255981
2021-02-19,10207.663436889648
2021-02-22,10190.539165496826
2021-02-23,10255.966808319092
2021-02-24,10338.251726150513
2021-02-25,9989.425735473633
2021-02-26,9928.255065917969
2021-03-01,10161.254573822021
2021-03-02,10083.077907562256
2021-03-03,10093.511054992676
2021-03-04,9892.993469238281
2021-03-05,10086.890335083008
2021-03-08,10284.940029144287
2021-03-09,10168.570846557617
2021-03-10,10309.822895050049
2021-03-11,10333.473175048828
2021-03-12,10425.769897460938
2021-03-15,10493.241832733154
2021-03-16,10372.812740325928
2021-03-17,10450.010791778564
2021-03-18,10305.818075180054
2021-03-19,10241.185205459595
2021-03-22,10204.47675895691
2021-03-23,10023.294692993164
2021-03-24,9968.28512954712
2021-03-25,10103.745412826538
2021-03-26,10312.609739303589
2021-03-29,10127.703456878662
2021-03-30,10198.738952636719
2021-03-31,10195.064699172974
2021-04-01,10335.215452194214
2021-04-05,10461.457386016846
2021-04-06,10585.066240310669
2021-04-07,10507.347425460815
2021-04-08,10522.2467918396
2021-04-09,10581.38611984253
2021-04-12,10609.890474319458
2021-04-13,10543.895442962646
2021-04-14,10505.628681182861
2021-04-15,10472.732219696045
2021-04-16,10511.258518218994
2021-04-19,10514.744239807129
2021-04-20,10340.050107955933
2021-04-21,10389.650806427002
2021-04-22,10338.712749481201
2021-04-23,10467.828838348389
2021-04-26,10460.183151245117
2021-04-27,10478.474138259888
2021-04-28,10462.628395080566
2021-04-29,10562.400333404541
2021-04-30,10492.68211555481
2021-05-03,10521.257818222046
2021-05-04,10839.295373916626
2021-05-05,10796.579578399658
2021-05-06,10806.62200164795
2021-05-07,10849.993715286255
2021-05-10,10709.82770729065
2021-05-11,10664.235214233398
2021-05-12,10354.362684249878
2021-05-13,10592.877729415894
2021-05-14,10632.478843688965
2021-05-17,10591.663116455078
2021-05-18,10430.557271957397
2021-05-19,10344.21575164795
2021-05-20,10303.638134002686
2021-05-21,10380.642589569092
2021-05-24,10464.57522201538
2021-05-25,10349.20687866211
2021-05-26,10393.075246810913
2021-05-27,10562.91716003418
2021-05-28,10568.58699798584
2021-06-01,10642.615282058716
2021-06-02,10565.783193588257
2021-06-03,10566.189811706543
2021-06-04,10600.494161605835
2021-06-07,10464.791994094849
2021-06-08,10525.067752838135
2021-06-09,10421.466756820679
2021-06-10,10311.137218475342
2021-06-11,10384.50955581665
2021-06-14,10313.200719833374
2021-06-15,10442.36100769043
2021-06-16,10237.178857803345
2021-06-17,9851.120946884155
2021-06-18,9607.628993988037
2021-06-21,9769.29796218872
2021-06-22,9760.949367523193
2021-06-23,9745.703899383545
2021-06-24,9783.632862091064
2021-06-25,9902.23076248169
2021-06-28,9950.80280303955
2021-06-29,9881.823143005371
2021-06-30,9835.344360351562
2021-07-01,9758.900646209717
2021-07-02,9899.994495391846
2021-07-06,9693.362003326416
2021-07-07,9742.74426651001
2021-07-08,9677.87984085083
2021-07-09,9802.55701828003
2021-07-12,9808.168254852295
2021-07-13,9865.210521697998
2021-07-14,9829.86137008667
2021-07-15,9871.493968963623
2021-07-16,9825.263271331787
2021-07-19,9598.096227645874
2021-07-20,9746.15913772583
2021-07-21,10096.767044067383
2021-07-22,10125.929611206055
2021-07-23,10277.473087310791
2021-07-26,10235.0152053833
2021-07-27,10210.132926940918
2021-07-28,10243.878986358643
2021-07-29,10343.695182800293
2021-07-30,10295.422306060791
2021-08-02,10303.335205078125
2021-08-03,10393.569877624512
2021-08-04,10242.841701507568
2021-08-05,10199.65559387207
2021-08-06,10341.561981201172
2021-08-09,10267.281814575195
2021-08-10,10203.570484161377
2021-08-11,10249.430519104004
2021-08-12,10051.365776062012
2021-08-13,10121.941734313965
2021-08-16,10148.364051818848
2021-08-17,10107.39810180664
2021-08-18,10033.623790740967
2021-08-19,10116.11988067627
2021-08-20,10218.45221710205
2021-08-23,10283.849300384521
2021-08-24,10341.930103302002
2021-08-25,10460.994247436523
2021-08-26,10202.872802734375
2021-08-27,10262.58137512207
2021-08-30,10266.222537994385
2021-08-31,10284.702339172363
2021-09-01,10250.635131835938
2021-09-02,10369.62744140625
2021-09-03,10298.60069656372
2021-09-07,10179.139190673828
2021-09-08,10259.79902267456
2021-09-09,10173.018966674805
2021-09-10,10110.546127319336
2021-09-13,10053.2551612854
2021-09-14,9931.24154663086
2021-09-15,9986.389205932617
2021-09-16,9941.927783966064
2021-09-17,9777.412963867188
2021-09-20,9626.73136138916
2021-09-21,9672.549766540527
2021-09-22,9800.77498626709
2021-09-23,9904.847366333008
2021-09-24,9976.035625457764
2021-09-27,9871.034465789795
2021-09-28,9577.198234558105
2021-09-29,9558.073936462402
2021-09-30,9493.676738739014
2021-10-01,9688.1146774292
2021-10-04,9601.36925125122
2021-10-05,9633.681343078613
2021-10-06,9822.79201889038
2021-10-07,9868.169921875
2021-10-08,9826.700172424316
2021-10-11,9812.919822692871
2021-10-12,9864.604587554932
2021-10-13,9707.897777557373
2021-10-14,9750.621150970459
2021-10-15,10018.115489959717
2021-10-18,10006.686386108398
2021-10-19,10029.775573730469
2021-10-20,10032.666381835938
2021-10-21,10253.769180297852
2021-10-22,10320.702655792236
2021-10-25,10399.328247070312
2021-10-26,10465.561122894287
2021-10-27,10250.797233581543
2021-10-28,10372.747581481934
2021-10-29,10331.568969726562
2021-11-01,10398.803062438965
2021-11-02,10325.123550415039
2021-11-03,10401.322448730469
2021-11-04,10396.87271118164
2021-11-05,10511.336093902588
2021-11-08,10601.554805755615
2021-11-09,10534.986305236816
2021-11-10,10511.509494781494
2021-11-11,10345.651191711426
2021-11-12,10364.04899597168
2021-11-15,10347.118446350098
2021-11-16,10376.188285827637
2021-11-17,10325.682029724121
2021-11-18,10209.193771362305
2021-11-19,10216.35627746582
2021-11-22,10185.954116821289
2021-11-23,10270.604263305664
2021-11-24,10242.664543151855
2021-11-26,9935.885246276855
2021-11-29,9996.179870605469
2021-11-30,9760.101203918457
2021-12-01,9585.542015075684
2021-12-02,9776.510055541992
2021-12-03,9690.630096435547
2021-12-06,9753.4017868042
2021-12-07,9903.247032165527
2021-12-08,9880.184677124023
2021-12-09,9863.810905456543
2021-12-10,9888.998252868652
2021-12-13,9866.408813476562
2021-12-14,9757.071472167969
2021-12-15,9872.95101928711
2021-12-16,9919.098251342773
2021-12-17,9814.756958007812
2021-12-20,9710.497459411621
2021-12-21,9817.022193908691
2021-12-22,9849.4595413208
2021-12-23,9881.362197875977
2021-12-27,10030.188171386719
2021-12-28,10092.006404876709
2021-12-29,10203.250701904297
2021-12-30,10136.223346710205
2021-12-31,10159.05460357666
2022-01-03,10159.164226531982
2022-01-04,10343.282192230225
2022-01-05,10245.387641906738
2022-01-06,10096.32706451416
2022-01-07,10005.911338806152
2022-01-10,10031.93200302124
2022-01-11,10080.85538482666
2022-01-12,10122.957611083984
2022-01-13,9990.155006408691
2022-01-14,9950.420181274414
2022-01-18,9749.153171539307
2022-01-19,9628.390602111816
2022-01-20,9392.73133468628
2022-01-21,9196.549586296082
2022-01-24,9224.000444412231
2022-01-25,9069.197657585144
2022-01-26,8989.880931854248
2022-01-27,9027.61405467987
2022-01-28,9014.439098358154
2022-01-31,9103.264568328857
2022-02-01,9221.775299072266
2022-02-02,9350.154549598694
2022-02-03,9278.80351638794
2022-02-04,9342.46171951294
2022-02-07,9362.779109954834
2022-02-08,9535.139263153076
2022-02-09,9551.960307121277
2022-02-10,9503.955238342285
2022-02-11,9366.340119361877
2022-02-14,9284.86207485199
2022-02-15,9540.040760040283
2022-02-16,9530.985857009888
2022-02-17,9410.614265441895
2022-02-18,9305.309546470642
2022-02-22,9179.946612358093
2022-02-23,8968.435215950012
2022-02-24,8868.083394050598
2022-02-25,9166.057515144348
2022-02-28,9055.042813301086
2022-03-01,8860.84391117096
2022-03-02,9092.57193851471
2022-03-03,9342.473774909973
2022-03-04,9377.916615486145
2022-03-07,9110.364109992981
2022-03-08,8877.399388313293
2022-03-09,8825.868767738342
2022-03-10,9000.730767250061
2022-03-11,8921.789944648743
2022-03-14,8674.202847480774
2022-03-15,8696.091824531555
2022-03-16,8739.42451953888
2022-03-17,8883.060788154602
2022-03-18,8917.909161567688
2022-03-21,8997.413548469543
2022-03-22,8983.469624519348
2022-03-23,9033.097538948059
2022-03-24,9087.469388008118
2022-03-25,9233.529660224915
2022-03-28,9231.774521827698
2022-03-29,9337.052302360535
2022-03-30,9283.991974830627
2022-03-31,9236.9973154068
2022-04-01,9266.786644935608
2022-04-04,9249.910195350647
2022-04-05,9154.612570762634
2022-04-06,9214.624283790588
2022-04-07,9230.607573509216
2022-04-08,9445.29430103302
2022-04-11,9261.00992488861
2022-04-12,9250.468419075012
2022-04-13,9383.275778770447
2022-04-14,9393.258366584778
